arm,quantity,outcome,TB+,TB-,noTB
int,check,att,0.864195478993722,0.832745012166679,0.591500581958656
int,check,notx,0.13580452100628,0.167254987833322,0.408499418041339
int,cost,att,286.585471437079,227.367969485752,228.104290910984
int,cost,notx,89.0997656634166,81.9965837348483,39.0213586496518
soc,check,att,0.822804938244925,0.800253648602873,0.228144470832298
soc,check,notx,0.177195061755068,0.199746351397136,0.771855529167708
soc,cost,att,214.110309667775,201.941741667629,250.595629450313
soc,cost,notx,44.6851118567148,43.3701190088238,17.4430888758005
