costperATT.soc,costperATT.int,DcostperATT,DcostperLYS0,DcostperLYS,Dcostperdeaths,DcostperDATT,DcostperDLYS0,DcostperDLYS,DcostperDdeaths,DcostPerOPD,DdeathsPer100kOPD,DLYS0Per100kOPD,DLYSPer100kOPD,attPC,DattPC,ICER,iso3,age
189 (146 - 235),202 (158 - 255),13 (-11 - 35),-4 (-9 - -1),-9 (-22 - -1),-233 (-555 - -32),357 (136 - 549),11 (5 - 25),26 (13 - 59),646 (321 - 1490),14 (3 - 29),2233 (94 - 4903),133261 (5592 - 292606),56307 (2363 - 123635),129 (103 - 165),29 (3 - 65),25,NGA,0-4
222 (176 - 274),235 (190 - 289),13 (-14 - 37),-14 (-32 - -3),-30 (-72 - -6),-774 (-1843 - -148),287 (166 - 540),35 (18 - 63),78 (41 - 141),1980 (1053 - 3596),20 (4 - 41),1103 (207 - 2410),62848 (11805 - 137348),28070 (5273 - 61344),130 (104 - 171),30 (4 - 71),72,NGA,5-14
